OrderID,ProductCategory,ProductSubCategory,ProductName,State,OrderDate,Profit,Sales
87777,Office Supplies,Rubber Bands,Acco? Hot Clips? Clips to Go,Georgia,5/15/2011,-39.802,20.77
52322,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Georgia,2/2/2013,-3.1122,5.7
32037,Technology,Copiers and Fax,Canon Imageclass D680 Copier / Fax,Massachusetts,2/16/2010,325.29,9862.51
7623,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Massachusetts,10/28/2010,1282.496,9705.46
42599,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Massachusetts,4/6/2010,2023.75,9459.94
39878,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",Massachusetts,3/5/2012,-375.3321,8583.39
59108,Technology,Telephones and Communication,M70,Massachusetts,10/7/2012,777.7512,8323.56
13570,Technology,Telephones and Communication,LX 677,Massachusetts,12/2/2013,1086.957,8155.51
16710,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Massachusetts,4/24/2012,1300.8,6258.27
54053,Technology,Telephones and Communication,5125,Massachusetts,2/14/2013,1185.408,5634.35
7623,Office Supplies,Paper,Xerox 1941,Massachusetts,10/28/2010,1184.12,5582.63
612,Technology,Telephones and Communication,6190,Massachusetts,10/20/2013,881.676,5297.63
54595,Furniture,Chairs & Chairmats,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Massachusetts,4/28/2010,-421.76,5258.94
12930,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Massachusetts,11/24/2012,261.87,3911.34
5702,Technology,Computer Peripherals,US Robotics 56K V.92 External Faxmodem,Massachusetts,9/6/2011,199.73,3670.9
7623,Technology,Computer Peripherals,US Robotics 56K V.92 Internal PCI Faxmodem,Massachusetts,10/28/2010,17.2,3247.54
54592,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Massachusetts,6/12/2012,-15.29,3238.99
18530,Technology,Telephones and Communication,i1000,Massachusetts,12/31/2011,286.362,2744.4
19041,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,Massachusetts,7/26/2012,530.22,2495.08
15009,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Massachusetts,12/21/2012,-7.8,2400.26
4004,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Massachusetts,5/6/2011,195.48,2199.64
10277,Technology,Telephones and Communication,g520,Massachusetts,4/7/2010,542.25,2144.92
49824,Technology,Telephones and Communication,3390,Massachusetts,3/22/2012,440.199,2130.56
89371,Office Supplies,Appliances,Avanti 1.7 Cu. Ft. Refrigerator,Massachusetts,10/22/2013,807.29,1923.81
39654,Office Supplies,Binders and Binder Accessories,Trimflex? Flexible Post Binders,Massachusetts,9/30/2013,330.0295,1800.11
42528,Office Supplies,Paper,Xerox 1880,Massachusetts,2/23/2011,47.65,1356.45
39430,Technology,Computer Peripherals,Logitech Internet Navigator Keyboard,Massachusetts,6/13/2010,-144.2,1332.09
3397,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,Massachusetts,6/22/2010,-20.25,1233.32
86179,Office Supplies,Storage & Organization,Deluxe Rollaway Locking File with Drawer,Massachusetts,6/24/2013,-131.672,830.43
54053,Technology,Telephones and Communication,Accessory6,Massachusetts,2/14/2013,-230.34,821.79
91218,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Massachusetts,12/19/2013,190.4448,777.11
14023,Office Supplies,Binders and Binder Accessories,Acco D-Ring Binder w/DublLock?,Massachusetts,2/20/2011,241.077,711.1
11779,Technology,Computer Peripherals,Micro Innovations 104 Keyboard,Massachusetts,6/29/2011,-172.34,684.66
10080,Technology,Computer Peripherals,Fellowes 17-key keypad for PS/2 interface,Massachusetts,2/12/2011,-26.83,637.04
612,Office Supplies,Paper,Xerox 1928,Massachusetts,10/20/2013,-166.29,552.03
14023,Office Supplies,Paper,Xerox 1948,Massachusetts,2/20/2011,40.61,498.16
45539,Technology,Computer Peripherals,Maxell DVD-RAM Discs,Massachusetts,8/2/2010,69.61,484.56
39972,Office Supplies,Labels,Avery 48,Massachusetts,9/25/2013,108.49,474.83
37250,Office Supplies,Envelopes,"Tyvek ? Top-Opening Peel & Seel ? Envelopes, Gray",Massachusetts,1/14/2011,51.244,473.46
11779,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16¡± x 11¡±",Massachusetts,6/29/2011,86.6,470.11
15009,Office Supplies,Envelopes,Staples #10 Colored Envelopes,Massachusetts,12/21/2012,61.09,458.86
41350,Office Supplies,Storage & Organization,Smead Adjustable Mobile File Trolley with Lockable Top,Massachusetts,5/8/2011,-259.01,423.3
13735,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Massachusetts,5/21/2010,117.38,406.91
42528,Technology,Computer Peripherals,"Memorex Slim 80 Minute CD-R, 10/Pack",Massachusetts,2/23/2011,81.87,313.05
32037,Office Supplies,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Massachusetts,2/16/2010,-63.8135,311.66
39972,Office Supplies,Labels,Avery 501,Massachusetts,9/25/2013,62.73,292.58
12897,Office Supplies,Paper,Xerox 216,Massachusetts,7/18/2012,-120.95,286.62
48706,Office Supplies,Paper,"Array? Parchment Paper, Assorted Colors",Massachusetts,10/30/2013,-130.96,280.31
54592,Furniture,Office Furnishings,"Eldon? Image Series Desk Accessories, Burgundy",Massachusetts,6/12/2012,-133.77,254.36
42528,Office Supplies,Storage & Organization,Portfile? Personal File Boxes,Massachusetts,2/23/2011,-43.52,250.75
54595,Office Supplies,"Scissors, Rulers and Trimmers",Acme? Elite Stainless Steel Scissors,Massachusetts,4/28/2013,6.79,250.29
10247,Technology,Computer Peripherals,"Memorex Slim 80 Minute CD-R, 10/Pack",Massachusetts,1/10/2011,17.656,231.95
43814,Office Supplies,Paper,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Massachusetts,1/9/2012,5.52,224.95
43814,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock? Ring Binders",Massachusetts,1/9/2012,-20.608,221.74
39972,Office Supplies,Binders and Binder Accessories,Wilson Jones Standard D-Ring Binders,Massachusetts,9/25/2013,-7.36,204.34
42528,Office Supplies,Paper,Xerox 1996,Massachusetts,2/23/2011,-147.72,200.7
12897,Office Supplies,Labels,Avery 487,Massachusetts,7/18/2012,59.92,192.28
26406,Office Supplies,Binders and Binder Accessories,Storex DuraTech Recycled Plastic Frosted Binders,Massachusetts,4/12/2012,-134.297,188.39
49125,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),Massachusetts,3/29/2010,-116.05,177.41
45539,Office Supplies,Pens & Art Supplies,Avery Hi-Liter? Fluorescent Desk Style Markers,Massachusetts,8/2/2013,13.82,174.66
48263,Office Supplies,Paper,Xerox 1920,Massachusetts,3/9/2011,-124.72,164.22
42528,Office Supplies,Rubber Bands,OIC Bulk Pack Metal Binder Clips,Massachusetts,2/23/2011,56.73,161.28
89389,Office Supplies,Paper,Xerox 1923,Massachusetts,8/27/2010,-40.0088,157.78
41604,Office Supplies,Binders and Binder Accessories,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Massachusetts,2/10/2013,-48.2195,138.24
48263,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Massachusetts,3/9/2011,37.5,135.91
59108,Office Supplies,Pens & Art Supplies,Newell 342,Massachusetts,10/7/2012,-71.964,133.8
87035,Technology,Telephones and Communication,5180,Massachusetts,9/1/2011,-247.236,113.87
18530,Furniture,Office Furnishings,"Career Cubicle Clock, 8 1/4"", Black",Massachusetts,12/31/2011,48.85,112.26
10247,Office Supplies,Paper,Xerox 1952,Massachusetts,1/10/2011,-85.328,111.66
56486,Office Supplies,Paper,Xerox 1947,Massachusetts,5/28/2010,-23.5,107.08
57794,Office Supplies,Paper,Xerox 1897,Massachusetts,7/26/2010,-46.92,105.5
4004,Office Supplies,Pens & Art Supplies,*Staples* Highlighting Markers,Massachusetts,5/6/2011,8.66,90.74
48706,Office Supplies,Rubber Bands,OIC Thumb-Tacks,Massachusetts,10/30/2013,-2.81,65.74
86850,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,Massachusetts,11/6/2011,20.12,58.67
44615,Office Supplies,Binders and Binder Accessories,Staples? General Use 3-Ring Binders,Massachusetts,5/9/2011,-10.258,53.6
19041,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Massachusetts,7/26/2012,-18.5,48.08
3397,Office Supplies,Binders and Binder Accessories,Avery Durable Binders,Massachusetts,6/22/2010,-3.381,47.31
13570,Furniture,Office Furnishings,Document Clip Frames,Massachusetts,12/2/2013,-8.8,33.94
87617,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Massachusetts,5/11/2010,7.31,20.46
3266,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Massachusetts,3/16/2012,-2.553,17.12
1537,Office Supplies,Binders and Binder Accessories,Peel & Stick Add-On Corner Pockets,Massachusetts,2/14/2013,-20.2975,16.6
87260,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Massachusetts,10/4/2010,-21.3192,8.8
89015,Technology,Copiers and Fax,Canon imageCLASS 2200 Advanced Copier,New York,12/1/2013,6643.55328,18537.69
89013,Furniture,Chairs & Chairmats,Global Commerce? Series High-Back Swivel/Tilt Chairs,New York,11/8/2012,1010.9,5668.64
89015,Furniture,Chairs & Chairmats,"Global Leather Task Chair, Black",New York,12/1/2013,-203.45472,1911.3
88435,Technology,Office Machines,Canon S750 Color Inkjet Printer,New York,2/17/2013,968.8221,1404.09
89010,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",New York,9/3/2011,-423.2,821.22
89015,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",New York,12/1/2013,448.4724,649.96
89013,Office Supplies,Binders and Binder Accessories,GBC Plastic Binding Combs,New York,11/8/2012,53.9603,203.87
89011,Office Supplies,Pens & Art Supplies,"Dixon My First Ticonderoga Pencil, #2",New York,2/15/2012,-1.09,36.04
21958,Office Supplies,Appliances,Hoover WindTunnel? Plus Canister Vacuum,North Carolina,6/5/2010,732.2698,7497.05
25062,Office Supplies,Binders and Binder Accessories,GBC DocuBind 200 Manual Binding Machine,North Carolina,10/30/2011,899.975155,6983.56
52743,Technology,Office Machines,Canon MP41DH Printing Calculator,North Carolina,7/4/2011,1884.4621,6814.28
39490,Furniture,Tables,Hon Non-Folding Utility Tables,North Carolina,8/12/2013,11.0349,5689.28
36069,Furniture,Office Furnishings,Tenex Antistatic Computer Chair Mats,North Carolina,12/5/2013,647.7627,5516.44
35840,Technology,Telephones and Communication,Accessory34,North Carolina,5/29/2011,791.81136,5060.79
29572,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",North Carolina,6/3/2011,84.6066285,3986.34
10949,Technology,Office Machines,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,North Carolina,3/30/2013,169.3559,3449.26
29507,Furniture,Tables,Global Adaptabilities? Conference Tables,North Carolina,2/9/2013,-903.1290068,3049.63
31939,Technology,Telephones and Communication,7160,North Carolina,6/25/2012,-99.76197,2434.12
59009,Office Supplies,Paper,Xerox 197,North Carolina,11/18/2012,-9.3366,2103.64
89628,Office Supplies,Binders and Binder Accessories,Ibico EPK-21 Electric Binding System,North Carolina,2/13/2013,27.186,1754.29
50917,Technology,Computer Peripherals,"Memorex 80 Minute CD-R Spindle, 100/Pack",North Carolina,7/21/2010,333.7605,1724.01
40224,Furniture,Office Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",North Carolina,6/30/2010,270.8743,1336.35
29507,Technology,Telephones and Communication,Accessory35,North Carolina,2/9/2013,279.38196,1274.95
29255,Technology,Telephones and Communication,8260,North Carolina,12/3/2012,-181.00236,1234.44
45476,Office Supplies,Appliances,Holmes HEPA Air Purifier,North Carolina,4/18/2013,137.0686,1055.98
16676,Technology,Telephones and Communication,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,North Carolina,3/19/2010,-16.06374,936.8
2368,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",North Carolina,8/19/2011,-305.4611,918.54
39490,Office Supplies,Pens & Art Supplies,Staples SlimLine Pencil Sharpener,North Carolina,8/12/2013,-81.9413,912.06
5509,Furniture,Office Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,North Carolina,4/7/2010,52.9166,885.23
36069,Office Supplies,Envelopes,"Tyvek ? Top-Opening Peel & Seel ? Envelopes, Gray",North Carolina,12/5/2010,72.1858,836.47
16897,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda? Round Back Stacking Chairs,North Carolina,6/15/2013,-243.5097,759.6
89623,Technology,Computer Peripherals,Fellowes 17-key keypad for PS/2 interface,North Carolina,5/8/2012,8.766,431.43
23781,Office Supplies,Paper,Xerox 226,North Carolina,10/31/2012,-79.6005,393.81
55300,Furniture,Office Furnishings,Dana Swing-Arm Lamps,North Carolina,2/20/2010,-307.2965,350.48
33826,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,North Carolina,12/19/2011,38.9672,343.07
31173,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,North Carolina,8/18/2013,-111.90487,338.71
10373,Office Supplies,Paper,Xerox 21,North Carolina,6/25/2011,-95.4009,289.74
35840,Office Supplies,Labels,Avery 508,North Carolina,5/29/2011,54.6921,250
7619,Technology,Computer Peripherals,"Maxell Pro 80 Minute CD-R, 10/Pack",North Carolina,10/8/2011,-32.5584,248.1
4839,Office Supplies,Paper,Xerox 227,North Carolina,5/9/2010,-160.3847,232.5
36931,Office Supplies,Pens & Art Supplies,Newell 320,North Carolina,1/19/2012,-21.0007,204.11
89620,Technology,Telephones and Communication,1726 Digital Answering Machine,North Carolina,1/2/2011,1292.598,198.19
36069,Office Supplies,Paper,Xerox 1922,North Carolina,12/5/2010,-122.3733,189.83
55300,Office Supplies,Labels,Avery 510,North Carolina,2/20/2010,55.1946,180.48
21600,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",North Carolina,4/4/2011,32.5285,169.48
16897,Office Supplies,Pens & Art Supplies,"Quartet Alpha? White Chalk, 12/Pack",North Carolina,6/15/2013,10.0299,161.55
55300,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire? Vibra Groomer I? Upright Vac,North Carolina,2/20/2010,-246.2761,159.89
89624,Technology,Telephones and Communication,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,North Carolina,9/1/2012,7.638,145.75
25062,Office Supplies,Appliances,Holmes Odor Grabber,North Carolina,10/30/2011,-28.3157,141.82
29152,Office Supplies,Storage & Organization,Eldon Shelf Savers? Cubes and Bins,North Carolina,7/23/2012,-141.3657,131.52
89621,Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,North Carolina,2/2/2011,-242.41,115.3
89628,Office Supplies,Binders and Binder Accessories,Fellowes Binding Cases,North Carolina,2/13/2013,-9.492,100.62
29152,Technology,Computer Peripherals,"Maxell Pro 80 Minute CD-R, 10/Pack",North Carolina,7/23/2012,-54.3438,78.17
5509,Office Supplies,Envelopes,Staples Brown Kraft Recycled Clasp Envelopes,North Carolina,4/7/2010,-29.8984,68.46
89621,Office Supplies,Pens & Art Supplies,SANFORD Major Accent? Highlighters,North Carolina,2/2/2011,-166.628,64.9
41059,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,Illinois,9/14/2011,2357.86,32589.59
41059,Technology,Office Machines,Polycom VoiceStation 100,Illinois,9/14/2011,5455.96,22908.3
13284,Office Supplies,Binders and Binder Accessories,GBC DocuBind 200 Manual Binding Machine,Illinois,8/12/2013,3858.2775,18124.88
59812,Office Supplies,Storage & Organization,Fellowes Staxonsteel? Drawer Files,Illinois,6/22/2012,1646.43,15301.18
12129,Furniture,Chairs & Chairmats,"Global High-Back Leather Tilter, Burgundy",Illinois,12/25/2013,-1197.58,9704.1
39015,Technology,Office Machines,Okidata ML320 Series Turbo Dot Matrix Printers,Illinois,12/6/2010,567.59,9666.72
44231,Technology,Telephones and Communication,5185,Illinois,11/3/2013,311.643,8396.02
58433,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,Illinois,7/1/2012,541.01,8085.21
14115,Technology,Telephones and Communication,3395,Illinois,8/14/2013,591.912,6592.12
59008,Technology,Office Machines,Lexmark Z54se Color Inkjet Printer,Illinois,9/29/2011,1264.75,6284.14
44231,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Illinois,11/3/2010,116.1,6276.34
41831,Technology,Office Machines,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Illinois,7/21/2013,431.95,4801.52
3905,Furniture,Chairs & Chairmats,"Global Push Button Manager's Chair, Indigo",Illinois,12/20/2011,-377.25,4713.21
1856,Technology,Telephones and Communication,M3682,Illinois,3/19/2013,973.161,4374.69
1856,Technology,Telephones and Communication,StarTAC 6500,Illinois,3/19/2013,676.125,4283.24
19936,Technology,Computer Peripherals,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Illinois,11/13/2013,301.31,4025.6
38693,Technology,Copiers and Fax,Canon PC1060 Personal Laser Copier,Illinois,6/14/2012,196.08,3704.35
48452,Furniture,Chairs & Chairmats,Novimex Fabric Task Chair,Illinois,10/9/2011,-706.68,3369.46
13284,Office Supplies,Binders and Binder Accessories,Vinyl Sectional Post Binders,Illinois,8/12/2013,674.9935,3325.14
48452,Technology,Computer Peripherals,U.S. Robotics 56K Internet Call Modem,Illinois,10/9/2011,41.152,3187.25
58433,Furniture,Chairs & Chairmats,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Illinois,7/1/2012,-45.02,2755.34
44231,Technology,Computer Peripherals,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Illinois,11/3/2010,-87.96,2664.4
322,Technology,Telephones and Communication,I888 World Phone,Illinois,3/18/2013,257.76,2634.86
58433,Office Supplies,Paper,Xerox 1937,Illinois,7/1/2012,730.44,2095.73
34849,Office Supplies,Storage & Organization,Smead Adjustable Mobile File Trolley with Lockable Top,Illinois,10/12/2011,-521.772,1988.22
10081,Furniture,Office Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",Illinois,8/7/2011,245,1900.85
37063,Furniture,Office Furnishings,"Executive Impressions 12"" Wall Clock",Illinois,12/9/2013,89.6,1838
13440,Technology,Computer Peripherals,"Memorex 80 Minute CD-R Spindle, 100/Pack",Illinois,10/13/2011,261.112,1766.95
28582,Technology,Computer Peripherals,Verbatim DVD-R 4.7GB authoring disc,Illinois,1/22/2013,169.548,1650.19
1856,Office Supplies,Appliances,Euro Pro Shark Stick Mini Vacuum,Illinois,3/19/2013,-712.14,1449.3
43079,Technology,Computer Peripherals,Fellowes 17-key keypad for PS/2 interface,Illinois,7/21/2010,-20.79,1420.84
88968,Technology,Office Machines,Canon MP41DH Printing Calculator,Illinois,3/2/2013,965.7171,1399.59
56710,Technology,Telephones and Communication,StarTAC 7760,Illinois,5/11/2011,-39.215,1198.77
7042,Furniture,Tables,Bretford Rectangular Conference Table Tops,Illinois,1/8/2013,-555.456,1187.86
59685,Furniture,Office Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Illinois,12/10/2013,-560.29,1125.82
28453,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,Illinois,12/28/2013,-139.87,1120.06
59365,Technology,Office Machines,Epson LQ-870 Dot Matrix Printer,Illinois,12/7/2010,-1220.9145,1068.6
56710,Technology,Computer Peripherals,Imation DVD-RAM discs,Illinois,5/11/2011,232.99,1051.67
26756,Technology,Computer Peripherals,Microsoft Multimedia Keyboard,Illinois,5/10/2013,-29.56,1012.78
59685,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,Illinois,12/10/2013,78.98,1010.4
27174,Technology,Telephones and Communication,Accessory27,Illinois,10/8/2012,-294.6768,926.92
24610,Furniture,Chairs & Chairmats,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Illinois,1/18/2011,-127.936,883.31
2757,Office Supplies,"Scissors, Rulers and Trimmers","Acme? 8"" Straight Scissors",Illinois,7/19/2012,84.38,772.65
14630,Office Supplies,Pens & Art Supplies,Boston 16801 Nautilus? Battery Pencil Sharpener,Illinois,10/16/2013,4.75,769.85
33632,Technology,Telephones and Communication,636,Illinois,3/13/2011,-277.783,763.65
91244,Technology,Telephones and Communication,Accessory24,Illinois,8/10/2010,525.2004,761.16
41857,Furniture,Office Furnishings,"Eldon Expressions? Desk Accessory, Wood Pencil Holder, Oak",Illinois,5/6/2012,-38.39,727.43
56710,Office Supplies,Storage & Organization,"Fellowes Personal Hanging Folder Files, Navy",Illinois,5/11/2011,5.71,691.53
5217,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,Illinois,10/12/2012,22.304,678.7
20960,Technology,Computer Peripherals,Micro Innovations 104 Keyboard,Illinois,11/18/2012,-104.82,670.39
41059,Office Supplies,Binders and Binder Accessories,"GBC Laser Imprintable Binding System Covers, Desert Sand",Illinois,9/14/2011,3.9185,656.48
39399,Office Supplies,Binders and Binder Accessories,GBC Imprintable Covers,Illinois,12/17/2013,23.2985,607.94
19429,Furniture,Tables,Bevis 36 x 72 Conference Tables,Illinois,8/24/2013,-84.93,480.48
37729,Office Supplies,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Illinois,1/15/2010,-42.8536,447.89
52737,Office Supplies,Binders and Binder Accessories,GBC VeloBinder Strips,Illinois,11/8/2011,-15.7435,430.42
29090,Office Supplies,Storage & Organization,Sterilite Officeware Hinged File Box,Illinois,1/16/2013,-173.12,422.6
28582,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Illinois,1/22/2013,35.184,419.23
30883,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6¡± x 11¡±",Illinois,8/21/2013,59.84,402.74
22727,Office Supplies,Paper,Xerox 1966,Illinois,7/3/2012,-120.37,402.36
32804,Office Supplies,Labels,Avery 510,Illinois,9/9/2013,74.82,367.46
32806,Office Supplies,Paper,Xerox 1977,Illinois,6/21/2012,-45.29,362.01
48452,Furniture,Office Furnishings,"Eldon? Image Series Desk Accessories, Burgundy",Illinois,10/9/2011,-231.072,332.73
26756,Office Supplies,Paper,Xerox 1894,Illinois,5/10/2013,-103.77,330.06
88969,Technology,Telephones and Communication,Accessory36,Illinois,4/9/2013,-183.678,329.44
43239,Office Supplies,Binders and Binder Accessories,Flexible Leather- Look Classic Collection Ring Binder,Illinois,3/16/2012,100.895,308.86
41831,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Illinois,7/21/2013,-96.29,292.35
